iter	Passed	Remaining
0	0	32
1	0	25
2	0	22
3	0	20
4	0	19
5	0	18
6	0	17
7	1	17
8	1	16
9	1	16
10	1	15
11	1	15
12	1	15
13	1	14
14	1	14
15	1	14
16	1	13
17	1	13
18	2	13
19	2	13
20	2	13
21	2	12
22	2	12
23	2	12
24	2	12
25	2	12
26	2	11
27	2	11
28	2	11
29	3	11
30	3	11
31	3	11
32	3	11
33	3	10
34	3	11
35	3	10
36	3	11
37	3	10
38	4	10
39	4	10
40	4	10
41	4	10
42	4	10
43	4	10
44	4	10
45	4	9
46	4	9
47	4	9
48	4	9
49	5	9
50	5	9
51	5	9
52	5	8
53	5	8
54	5	8
55	5	8
56	5	8
57	5	8
58	5	8
59	5	8
60	5	7
61	5	7
62	6	7
63	6	7
64	6	7
65	6	7
66	6	7
67	6	7
68	6	6
69	6	6
70	6	6
71	6	6
72	6	6
73	6	6
74	6	6
75	6	6
76	7	6
77	7	5
78	7	5
79	7	5
80	7	5
81	7	5
82	7	5
83	7	5
84	7	5
85	7	5
86	7	5
87	7	4
88	7	4
89	8	4
90	8	4
91	8	4
92	8	4
93	8	4
94	8	4
95	8	4
96	8	4
97	8	4
98	9	4
99	9	3
100	9	3
101	9	3
102	9	3
103	9	3
104	9	3
105	9	3
106	9	3
107	9	3
108	9	3
109	9	2
110	9	2
111	9	2
112	10	2
113	10	2
114	10	2
115	10	2
116	10	2
117	10	2
118	10	2
119	10	2
120	10	1
121	10	1
122	10	1
123	10	1
124	10	1
125	11	1
126	11	1
127	11	1
128	11	1
129	11	1
130	11	1
131	11	0
132	11	0
133	11	0
134	11	0
135	11	0
136	11	0
137	11	0
138	11	0
139	12	0
140	12	0
141	12	0
142	12	0
